Key,English,Vietnamese
Enemy.GreenBamboo,Green Bamboo,Quái tre xanh
Enemy.Description.GreenBamboo,"The Green Bamboo Monster is a bizarre creature that combines the real world and myth. With its striking form and uncanny strength, this monster creates a unique combination of the sentimentality of nature and the whims of the mystical world.
Monster Green Bamboo has a body about 3 meters high, with a dense trunk, the appearance is like a real bamboo. However, the truth behind this appearance is a combination of mental and physical. The bark is dark green, with leaf and bark details showing naturalness and depth.","Quái vật Cây Tre Xanh là một sinh vật kỳ quái kết hợp giữa thế giới thực và thần thoại. Với hình dáng nổi bật và sức mạnh kỳ lạ, quái vật này tạo ra một sự kết hợp độc đáo giữa sự uỷ mị của thiên nhiên và sự kỳ quái của thế giới huyền bí.
Cây Tre Xanh Quái Vật có thân hình cao khoảng 3 mét, với thân cây dày đặc, vẻ ngoài giống như một cây tre thật sự. Tuy nhiên, sự thật đằng sau hình dáng bề ngoài này là một tổ hợp của tinh thần và thể chất. Vỏ cây có màu xanh đậm, với các chi tiết vân lá và vỏ thể hiện độ tự nhiên và chiều sâu."
Enemy.YellowBamboo,Yellow Bamboo,Quái tre vàng
Enemy.Description.YellowBamboo,"The Monster Yellow Bamboo is an advanced and magical variant of the Green Bamboo Monster. The Monster Golden Bamboo has a tall and lithe body, with its bark covered with golden scales. The leaf and shell details are embellished with vibrant gold, creating a dramatic glow in the darkness of the surroundings.

The Monster Yellow Bamboo is usually dignified and assertive. They are guardians and protectors of forests, using their power to maintain balance and peace in nature. However, they can also show a loving and understanding personality towards other living species.

The Monster Yellow Bamboo usually lives in deep and mystical forests, where the fusion of magic and nature creates the right environment for them to exist. They often appear from time to time to help and support creatures in need of protection and companionship.","Cây Tre Vàng Quái Vật là một biến thể cao cấp và ma thuật của Quái Tre Xanh. Cây Tre Vàng Quái Vật có thân hình cao và uyển chuyển, với vỏ cây phủ bởi lớp vảy vàng óng. Những chi tiết vân lá và vỏ được tô điểm bằng màu vàng rực rỡ, tạo nên một ánh sáng ấn tượng trong bóng tối của môi trường xung quanh.

Cây Tre Vàng Quái Vật thường mang tính cách nghiêm trang và quyết đoán. Chúng là những người bảo vệ và bảo vệ các khu rừng, sử dụng sức mạnh của mình để duy trì cân bằng và hòa bình trong tự nhiên. Tuy nhiên, chúng cũng có thể thể hiện tính cách yêu thương và hiểu biết đối với các loài sống khác.

Cây Tre Vàng Quái Vật thường sống trong những khu rừng sâu và huyền bí, nơi sự hợp nhất của ma thuật và thiên nhiên tạo ra môi trường thích hợp cho chúng tồn tại. Chúng thường thỉnh thoảng xuất hiện để giúp đỡ và hỗ trợ những sinh vật cần sự bảo vệ và đồng hành."
Enemy.BlackMouse,Black Mouse,Chuột đen
Enemy.Description.BlackMouse,,
Enemy.BlueFlam,Blue Flam,Lục linh
Enemy.Description.BlueFlam,,
Enemy.BlueSkull,Blue Skull,Lục lâu
Enemy.Description.BlueSkull,,
Enemy.SpiritBlue,Spirit Blue,Thanh hỏa
Enemy.Description.SpiritBlue,,
Enemy.BrownMouse,Brown Mouse,Chuột nâu
Enemy.Description.BrownMouse,,
Enemy.GreenCyclope,Green Cyclope,Ma xanh
Enemy.Description.GreenCyclope,,
Enemy.GreenDragonKid,Green Dragon Kid,Tiểu lục long
Enemy.Description.GreenDragonKid,,
Enemy.GreenFish,Green Fish,Lục ngư
Enemy.Description.GreenFish,,
Enemy.RedCyclope,Red Cyclope,Ma đỏ
Enemy.Description.RedCyclope,,
Enemy.RedFish,Red Fish,Huyết ngư
Enemy.Description.RedFish,,
Enemy.RedFlam,Red Flam,Huyết linh
Enemy.Description.RedFlam,,
Enemy.RedSkull,Red Skull,Huyết lâu
Enemy.Description.RedSkull,,
Enemy.SpiritRed,Spirit Red,Xích hỏa
Enemy.Description.SpiritRed,,
Enemy.YellowDragonKid,Yellow DragonKid,Tiểu kim long
Enemy.Description.YellowDragonKid,,
